customer_id,transaction_volume,avg_transaction_amount,credit_score,employment_status
CUST0096,33,9007.54,420,Full-time
CUST0093,28,7033.4,826,Contractor
CUST0008,25,8208.67,524,Self-employed
CUST0076,24,8123.18,557,Self-employed
CUST0068,23,6945.94,342,Retired
CUST0182,23,8133.12,628,Retired
CUST0197,23,5134.69,645,Part-time
CUST0198,22,7603.64,726,Unemployed
CUST0133,22,8527.74,387,Full-time
CUST0052,21,9294.17,549,Contractor
CUST0177,21,8131.7,486,Unemployed
CUST0172,21,7202.36,608,Self-employed
CUST0123,21,8743.9,321,Unemployed
CUST0173,20,6365.54,811,Full-time
CUST0187,20,6761.63,707,Retired
CUST0002,20,7315.83,729,Retired
CUST0021,19,8428.31,784,Unemployed
CUST0012,19,8314.83,779,Contractor
CUST0015,19,7417.95,800,Retired
CUST0199,19,6997.43,715,Part-time
CUST0144,19,8752,845,Part-time
CUST0153,19,8987.81,677,Full-time
CUST0166,18,6876.56,441,Part-time
CUST0178,18,7079.11,504,Full-time
CUST0050,18,5405.68,643,Self-employed
CUST0115,18,7063.26,793,Part-time
CUST0105,17,6193.92,744,Unemployed
CUST0057,17,6009.64,441,Retired
CUST0150,17,7369.09,562,Full-time
CUST0195,17,6657.42,465,Self-employed
CUST0143,16,6490.25,440,Part-time
CUST0011,16,7620.41,393,Retired
CUST0107,16,5746.42,484,Retired
CUST0073,16,7193.9,582,Self-employed
CUST0098,15,8544.96,724,Self-employed
CUST0102,15,7297.01,750,Full-time
CUST0083,15,7093.03,401,Retired
CUST0029,15,6271.58,369,Part-time
CUST0049,15,8558.13,752,Contractor
CUST0045,15,8245.73,746,Self-employed
CUST0046,15,7274.87,427,Unemployed
CUST0037,15,6001.1,452,Full-time
CUST0164,15,8312.2,759,Unemployed
CUST0189,15,6996.93,438,Part-time
CUST0158,14,7413.27,453,Unemployed
CUST0148,14,7658.36,705,Retired
CUST0043,14,6553.65,709,Unemployed
CUST0048,14,7459.12,300,Contractor
CUST0028,13,8183.42,358,Unemployed
CUST0109,13,6661.96,461,Self-employed
CUST0134,13,6759.26,637,Retired
CUST0161,13,7531.5,797,Part-time
CUST0157,13,7256.59,642,Unemployed
CUST0142,12,7411.85,615,Retired
CUST0108,12,6418.78,446,Contractor
CUST0019,12,9261.75,535,Retired
CUST0062,12,6554.88,772,Part-time
CUST0023,11,5569.45,411,Unemployed
CUST0034,11,8093.12,409,Self-employed
CUST0036,11,7179.81,641,Full-time
CUST0119,11,8926.85,418,Self-employed
CUST0065,11,6403.68,784,Part-time
CUST0141,11,7251.88,520,Contractor
CUST0125,11,7451.94,448,Self-employed
CUST0169,11,8917.32,383,Part-time
CUST0188,11,7135.33,420,Retired
CUST0196,10,6221.8,581,Part-time
CUST0179,10,9421,495,Self-employed
CUST0185,10,8546.27,748,Part-time
CUST0147,10,9150.86,670,Unemployed
CUST0066,10,7884.73,417,Retired
CUST0090,10,5340.75,752,Retired
CUST0121,10,5184.28,679,Self-employed
CUST0135,10,6610.64,619,Self-employed
CUST0104,10,6566.4,799,Self-employed
CUST0089,9,8868.79,534,Full-time
CUST0099,9,6868.24,795,Part-time
CUST0067,9,4926.41,503,Contractor
CUST0013,9,7282.99,414,Unemployed
CUST0064,9,9657.4,370,Self-employed
CUST0069,9,6015.13,801,Contractor
CUST0070,9,9916.93,834,Contractor
CUST0071,8,9563.78,551,Self-employed
CUST0038,8,9125.21,340,Self-employed
CUST0014,8,5970.99,408,Retired
CUST0026,8,9472.04,688,Full-time
CUST0149,8,9246.25,498,Retired
CUST0139,8,7271.06,764,Contractor
CUST0140,8,6897.83,461,Full-time
CUST0186,8,6516.85,333,Contractor
CUST0176,8,7800.73,406,Self-employed
CUST0190,8,7794.88,597,Unemployed
CUST0192,8,7453.4,432,Contractor
CUST0184,8,11661.1,358,Self-employed
CUST0193,7,5943.47,375,Contractor
CUST0175,7,7844.39,781,Contractor
CUST0183,7,7316.81,754,Part-time
CUST0181,7,5382.04,676,Unemployed
CUST0128,7,6814.95,833,Retired
CUST0032,7,12931.79,518,Full-time
CUST0016,7,6595.17,380,Full-time
CUST0084,7,9014.72,460,Retired
CUST0086,7,5860.56,530,Contractor
CUST0113,7,8503.98,340,Unemployed
CUST0110,7,9447.92,609,Contractor
CUST0112,6,10144.06,535,Self-employed
CUST0116,6,5803.72,706,Unemployed
CUST0077,6,5291.9,795,Part-time
CUST0103,6,5720.57,571,Contractor
CUST0033,6,7675.92,748,Self-employed
CUST0044,6,7147.78,744,Full-time
CUST0200,6,8532.36,508,Contractor
CUST0126,5,7401.52,543,Full-time
CUST0174,5,8916.76,726,Part-time
CUST0041,5,6510.98,781,Full-time
CUST0020,5,6363.21,638,Full-time
CUST0078,5,6701.35,314,Part-time
CUST0079,5,8965.72,312,Full-time
CUST0136,5,9880.73,676,Full-time
CUST0122,5,6118.79,667,Retired
CUST0120,5,5410.96,729,Unemployed
