loan_type,total_outstanding_balance,number_of_active_loans,avg_interest_rate,avg_credit_score,flag_risk
Personal Loan,627331.25,1,9.45,375.00,High Risk
HECS,203096.18,2,6.74,393.00,High Risk
Personal Loan,630879.50,1,12.08,411.00,High Risk
Personal Loan,379663.41,1,2.57,418.00,High Risk
HECS,234821.13,1,10.28,441.00,High Risk
Business Loan,100276.41,1,3.22,446.00,High Risk
Car Loan,770808.75,1,2.75,446.00,High Risk
Business Loan,134257.91,1,13.12,448.00,High Risk
Car Loan,120742.62,1,13.30,458.00,High Risk
Home Loan,416974.13,1,6.69,545.00,Medium Risk
Personal Loan,720838.00,1,12.80,557.00,Medium Risk
Car Loan,421186.44,1,11.32,573.00,Medium Risk
Business Loan,12787.90,1,11.29,581.00,Medium Risk
Car Loan,294731.38,1,3.38,611.00,Medium Risk
Personal Loan,468788.47,1,3.93,651.00,Medium Risk
Car Loan,198215.88,1,2.59,676.00,Medium Risk
Business Loan,578646.56,1,10.33,677.00,Medium Risk
HECS,163653.98,1,7.65,677.00,Medium Risk
HECS,16031.78,1,4.03,679.00,Medium Risk
Car Loan,93661.23,1,9.26,688.00,Medium Risk
Car Loan,54098.12,1,10.92,725.00,Low Risk
Car Loan,466942.99,2,8.80,729.00,Low Risk
Home Loan,250247.53,1,5.95,729.00,Low Risk
Business Loan,40135.72,1,9.05,744.00,Low Risk
HECS,130365.68,1,2.53,744.00,Low Risk
Business Loan,104840.51,1,13.56,752.00,Low Risk
Personal Loan,58240.44,1,11.08,784.00,Low Risk
Personal Loan,314702.59,1,5.40,795.00,Low Risk
HECS,232625.03,1,13.03,798.00,Low Risk
Personal Loan,493784.53,1,10.52,834.00,Low Risk
