loan_id,customer_id,loan_type,principal_aud,outstanding_balance,interest_rate_pct,term_months,start_date,end_date,monthly_repayment,status,lender,lvr_pct
LOAN0001,CUST0090,HECS,102309.51,30394.67,9.45,240,2022-06-15,2042-03-02,394.51,Closed,NAB,33.5
LOAN0002,CUST0023,Personal Loan,740910.58,306185.38,3.05,24,2019-11-24,2021-11-13,33803.68,Arrears,Commonwealth Bank,29.4
LOAN0003,CUST0111,Business Loan,410043.44,345115.74,7.72,300,2023-01-11,2047-09-02,1275.56,Defaulted,Westpac,93.3
LOAN0004,CUST0151,HECS,562968.67,245607.06,7.71,120,2021-09-28,2031-08-07,4222.8,Arrears,Westpac,81.2
LOAN0005,CUST0108,Car Loan,894376.99,770808.77,2.75,360,2023-03-13,2052-10-06,2258.1,Active,Bendigo Bank,73.6
LOAN0006,CUST0027,Personal Loan,537544.56,143822.03,3.39,36,2022-03-03,2025-02-15,14547.76,Defaulted,ANZ,66.5
LOAN0007,CUST0072,Personal Loan,528379.52,480232.01,6.51,12,2020-06-14,2021-06-09,41323.05,Closed,ANZ,20.5
LOAN0008,CUST0043,Personal Loan,65175.91,54006.63,12.92,240,2020-05-16,2040-02-01,288.15,Defaulted,Commonwealth Bank,28.5
LOAN0009,CUST0187,Home Loan,258893.51,78556.75,7.16,240,2020-04-08,2039-12-25,1079.65,Defaulted,Bendigo Bank,78.8
LOAN0010,CUST0160,Personal Loan,177509.55,64806.77,5.33,60,2020-02-01,2025-01-05,3206.49,Arrears,ANZ,20.5
LOAN0011,CUST0138,HECS,510075.93,509993.86,5.15,240,2019-02-24,2038-11-11,1966.48,Defaulted,Westpac,26.8
LOAN0012,CUST0149,HECS,703167.79,318914.45,12.94,360,2019-04-28,2048-11-21,1996.89,Closed,Commonwealth Bank,28.8
LOAN0013,CUST0063,Car Loan,182288.69,93661.23,9.26,300,2021-10-13,2046-06-04,580.63,Active,Commonwealth Bank,48.8
LOAN0014,CUST0153,HECS,578620.93,163653.98,7.65,120,2023-05-06,2033-03-14,4939.62,Active,Macquarie Bank,29.9
LOAN0015,CUST0102,Home Loan,634176.61,338305.2,5.17,24,2021-07-03,2023-06-23,25899.68,Arrears,Westpac,55.5
LOAN0016,CUST0039,Home Loan,230427.69,209129.07,4.13,300,2022-09-29,2047-05-21,695.19,Arrears,Commonwealth Bank,53.6
LOAN0017,CUST0197,HECS,9035.97,2191.27,11.03,12,2020-04-13,2021-04-08,757.97,Defaulted,Westpac,85.6
LOAN0018,CUST0070,Home Loan,153762.73,24066.2,10.45,60,2019-05-06,2024-04-09,2747.26,Defaulted,Commonwealth Bank,43.8
LOAN0019,CUST0070,Home Loan,94828.92,35045.11,10.16,36,2020-03-05,2023-02-18,2396.73,Arrears,NAB,88.8
LOAN0020,CUST0119,HECS,238530.85,232911.61,6.81,36,2022-07-30,2025-07-14,6945.55,Closed,ANZ,92.8
LOAN0021,CUST0129,Business Loan,638835.4,425115.76,10.27,60,2022-01-21,2026-12-26,11074.02,Active,Macquarie Bank,33.5
LOAN0022,CUST0002,Car Loan,445911.16,242325.24,6.9,360,2020-09-11,2050-04-07,1257.12,Closed,ANZ,76.8
LOAN0023,CUST0151,Business Loan,322089.68,285160.93,13.34,300,2022-04-22,2046-12-12,1001.9,Arrears,Bendigo Bank,60.7
