transaction_id,account_id,customer_id,transaction_date,transaction_type,debit_credit,amount_aud,merchant_category,channel,description,is_flagged,settlement_date
TXN000001,ACC00288,CUST0067,2024-12-09,Purchase,Debit,3694.44,Healthcare,ATM,Purchase - Entertainment,N,2024-12-11
TXN000002,ACC00046,CUST0119,2022-08-19,ATM Withdrawal,Debit,10076.54,Entertainment,Branch,ATM Withdrawal - Utilities,N,2022-08-21
TXN000003,ACC00336,CUST0158,2022-02-19,Transfer,Credit,11545.45,Entertainment,EFTPOS,Transfer - Retail,N,2022-02-20
TXN000004,ACC00023,CUST0197,2023-04-24,Direct Debit,Debit,2996.08,Restaurants,Mobile App,Direct Debit - Fuel,N,2023-04-24
TXN000005,ACC00318,CUST0048,2022-10-30,Refund,Credit,13031.42,Healthcare,Mobile App,Refund - Entertainment,N,2022-10-30
TXN000006,ACC00157,CUST0123,2024-07-10,Direct Debit,Debit,7068.38,Utilities,EFTPOS,Direct Debit - Utilities,N,2024-07-12
TXN000007,ACC00133,CUST0075,2024-09-16,Transfer,Credit,9346.01,Groceries,ATM,Transfer - Groceries,N,2024-09-16
TXN000008,ACC00146,CUST0062,2023-02-16,BPAY,Debit,11838.04,Healthcare,Mobile App,BPAY - Retail,N,2023-02-16
TXN000009,ACC00035,CUST0006,2024-03-06,PayID,Credit,9905.93,Entertainment,Mobile App,PayID - Groceries,N,2024-03-08
TXN000010,ACC00198,CUST0188,2023-04-19,BPAY,Debit,14696.91,Fuel,Branch,BPAY - Retail,N,2023-04-21
TXN000011,ACC00046,CUST0119,2023-01-17,ATM Withdrawal,Debit,2983.93,Groceries,Mobile App,ATM Withdrawal - Utilities,N,2023-01-18
TXN000012,ACC00171,CUST0074,2024-09-30,Transfer,Credit,5901.6,Groceries,Branch,Transfer - Entertainment,N,2024-10-01
TXN000013,ACC00121,CUST0185,2024-10-23,Purchase,Debit,4138.9,Healthcare,ATM,Purchase - Groceries,N,2024-10-24
TXN000014,ACC00116,CUST0068,2022-11-07,ATM Withdrawal,Debit,5127.45,Restaurants,Mobile App,ATM Withdrawal - Travel,N,2022-11-09
TXN000015,ACC00314,CUST0075,2023-04-11,BPAY,Debit,6260.58,Restaurants,ATM,BPAY - Healthcare,N,2023-04-12
TXN000016,ACC00230,CUST0074,2022-09-27,Transfer,Credit,3102.15,Utilities,Internet Banking,Transfer - Healthcare,N,2022-09-29
TXN000017,ACC00070,CUST0147,2024-05-30,Refund,Credit,14935.29,Restaurants,EFTPOS,Refund - Restaurants,N,2024-06-01
TXN000018,ACC00273,CUST0090,2022-08-31,Refund,Credit,2762.84,Restaurants,Mobile App,Refund - Entertainment,N,2022-09-01
TXN000019,ACC00211,CUST0125,2023-09-14,Refund,Credit,6645.62,Healthcare,Internet Banking,Refund - Utilities,N,2023-09-14
TXN000020,ACC00014,CUST0049,2023-07-01,BPAY,Debit,9084.46,Utilities,EFTPOS,BPAY - Utilities,N,2023-07-01
TXN000021,ACC00184,CUST0168,2022-06-12,ATM Withdrawal,Debit,10322.43,Restaurants,EFTPOS,ATM Withdrawal - Retail,N,2022-06-13
TXN000022,ACC00095,CUST0195,2024-03-04,Transfer,Credit,7372.19,Restaurants,Internet Banking,Transfer - Utilities,Y,2024-03-04
TXN000023,ACC00139,CUST0022,2024-04-25,PayID,Credit,3339.09,Utilities,Internet Banking,PayID - Fuel,N,2024-04-26
TXN000024,ACC00316,CUST0073,2024-09-30,Refund,Credit,10318.25,Retail,Internet Banking,Refund - Travel,N,2024-09-30
TXN000025,ACC00312,CUST0089,2024-02-19,ATM Withdrawal,Debit,10803.29,Groceries,EFTPOS,ATM Withdrawal - Fuel,N,2024-02-19
TXN000026,ACC00126,CUST0046,2024-11-28,PayID,Credit,8068.5,Groceries,EFTPOS,PayID - Travel,N,2024-11-30
TXN000027,ACC00026,CUST0070,2023-01-24,ATM Withdrawal,Debit,4368.4,Healthcare,Branch,ATM Withdrawal - Retail,N,2023-01-25
TXN000028,ACC00314,CUST0075,2022-04-22,Transfer,Credit,10349.6,Retail,ATM,Transfer - Fuel,N,2022-04-22
TXN000029,ACC00093,CUST0126,2022-10-05,Direct Debit,Debit,5896.61,Retail,Mobile App,Direct Debit - Restaurants,N,2022-10-07
TXN000030,ACC00104,CUST0012,2024-07-20,Direct Debit,Debit,1353.6,Restaurants,Mobile App,Direct Debit - Fuel,N,2024-07-21
TXN000031,ACC00325,CUST0149,2024-01-14,PayID,Credit,1280.51,Travel,EFTPOS,PayID - Restaurants,N,2024-01-15
TXN000032,ACC00023,CUST0197,2022-12-16,BPAY,Debit,13683.88,Restaurants,Internet Banking,BPAY - Restaurants,N,2022-12-18
TXN000033,ACC00027,CUST0076,2024-05-09,PayID,Credit,4621.63,Retail,Branch,PayID - Restaurants,N,2024-05-09
TXN000034,ACC00104,CUST0012,2022-01-08,Direct Debit,Debit,9338.78,Groceries,ATM,Direct Debit - Retail,N,2022-01-10
TXN000035,ACC00003,CUST0064,2024-10-07,BPAY,Debit,3568.94,Retail,ATM,BPAY - Travel,N,2024-10-09
TXN000036,ACC00308,CUST0141,2022-01-14,BPAY,Debit,3671.45,Healthcare,EFTPOS,BPAY - Utilities,N,2022-01-14
TXN000037,ACC00029,CUST0150,2023-12-16,Refund,Credit,551.78,Groceries,EFTPOS,Refund - Healthcare,N,2023-12-16
TXN000038,ACC00026,CUST0070,2022-08-12,Transfer,Credit,6254.94,Restaurants,Branch,Transfer - Restaurants,N,2022-08-14
TXN000039,ACC00297,CUST0094,2024-01-08,Purchase,Debit,13972.27,Healthcare,Branch,Purchase - Entertainment,N,2024-01-08
TXN000040,ACC00219,CUST0184,2022-05-13,Transfer,Credit,4393.2,Fuel,Branch,Transfer - Entertainment,N,2022-05-15
TXN000041,ACC00108,CUST0109,2023-03-05,Purchase,Debit,9181.19,Fuel,ATM,Purchase - Healthcare,N,2023-03-06
TXN000042,ACC00133,CUST0075,2024-12-12,BPAY,Debit,8627.57,Entertainment,Internet Banking,BPAY - Retail,N,2024-12-14
TXN000043,ACC00255,CUST0045,2024-10-05,BPAY,Debit,12119.9,Utilities,Branch,BPAY - Utilities,Y,2024-10-05
TXN000044,ACC00239,CUST0144,2022-08-30,Transfer,Credit,11062.29,Travel,ATM,Transfer - Groceries,N,2022-09-01
TXN000045,ACC00327,CUST0166,2023-03-11,Transfer,Credit,170.45,Healthcare,Branch,Transfer - Fuel,N,2023-03-13
TXN000046,ACC00282,CUST0050,2023-10-26,Purchase,Debit,11505.72,Entertainment,Branch,Purchase - Travel,N,2023-10-28
